RANKING;COUNTRY;COU;PLAYER;MARKED;MATCHES;GOALS;DEBUT;POSITION;WC;WC_DESC;UCL/MUNDIALCLUB;UCL_DESC;EUROAMERICAN;EURO_DESC;BOTH;SOLO_AWARD;SOLO_AWARD2;AWARD_DESC;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;NONSTRIKER
30;PAN;PAN;Jose Fajardo;0;62;17;2017;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
30;PAN;PAN;Ismael Diaz;1;52;17;2014;LEFT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
29;NOR;NOR;Andreas Schjelderup;0;8;0;2024;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
29;NOR;NOR;Jorgen Strand Larsen;0;24;4;2020;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
29;NOR;NOR;Antonio Nusa;0;20;7;2023;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
29;NOR;NOR;Oscar Bobb;0;16;2;2023;RIGHT;0;;0;;0;;0;1;0;;1;0;0;0;0;0
29;NOR;NOR;Alexander Sorloth;0;68;26;2016;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
29;NOR;NOR;Erling Haaland;1;48;55;2019;CENTER;0;;1;22/23 Champions League;0;;0;0;1;2023 UEFA POTY;1;0;0;1;0;0
28;UKR;UKR;Nazar Voloshyn;0;5;0;2025;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
28;UKR;UKR;Oleksandr Zubkov;0;43;3;2020;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
28;UKR;UKR;Oleksiy Gutsulyak;0;14;4;2024;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
28;UKR;UKR;Roman Yaremchuk;1;65;17;2018;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
28;UKR;UKR;Vladyslav Vanat;0;16;2;2023;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
28;UKR;UKR;Viktor Tsygankov;0;63;13;2016;RIGHT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
27;CAN;CAN;Theo Bair;0;7;1;2020;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
27;CAN;CAN;Jayden Nelson;0;12;2;2020;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
27;CAN;CAN;Promise David;0;8;3;2025;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
27;CAN;CAN;Tani Oluwaseyi;0;21;2;2024;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
27;CAN;CAN;Jacob Shaffelburg;0;31;6;2020;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
27;CAN;CAN;Tajon Buchanan;0;57;8;2021;RIGHT;0;;0;;0;;0;0;0;;0;0;1;0;0;0
27;CAN;CAN;Junior Hoilett;0;68;17;2015;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
27;CAN;CAN;Alphonso Davies;1;58;15;2017;LEFT;0;;1;19/20 Champions League;1;16/17 Gold Cup;1;1;0;;0;0;0;1;0;1
27;CAN;CAN;Jonathan David;1;73;37;2018;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;1;0
26;AUS;AUS;Nick D'Agostino;0;4;0;2022;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
26;AUS;AUS;Mohamed Toure;0;8;2;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
26;AUS;AUS;Nestory Irankunda;0;11;3;2024;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
